id_game,pemenang,strategi_pembuka
3rut0m4E,black,Sicilian Defense
9uLhcP9g,black,Sicilian Defense
23WLlukF,black,Sicilian Defense
79RGpjMH,black,French Defense
uMoXrR1H,white,Sicilian Defense
zlQThGVX,white,Sicilian Defense
XryQwipq,white,Sicilian Defense
XzDEJEAK,black,French Defense
AhfLQxfz,white,Sicilian Defense
xo07RRgm,black,Italian Game
aHpSpXBY,white,French Defense
trLo4I84,white,Sicilian Defense
wqOb8n7u,black,Sicilian Defense
leDTU8io,black,Italian Game
gGcUX2oU,black,Sicilian Defense
jI6vrt7Y,white,Sicilian Defense
TPZImYDg,white,Sicilian Defense
2LA4I7yX,white,Sicilian Defense
706gBrbu,black,Sicilian Defense
SF1j338f,black,Sicilian Defense
iwrqxj3v,white,Sicilian Defense
bS25Hae9,white,Sicilian Defense
3LlDTciR,black,Sicilian Defense
XIU742Tt,black,Sicilian Defense
5eE4dLmE,black,Sicilian Defense
LFcZOLca,black,French Defense
tieuBsvB,white,Sicilian Defense
iYHEAYqF,white,French Defense
RDWDc6gB,black,Sicilian Defense
6Ew7d4T6,black,Sicilian Defense
CZydGTTM,black,Sicilian Defense
R5eh7vmy,white,Sicilian Defense
ZOMAHujN,white,Sicilian Defense
fpy4l7uG,white,Italian Game
rygDeebM,black,Sicilian Defense
d2LSj4j4,white,French Defense
fUXsv25b,black,Italian Game
JTF5lktc,black,Sicilian Defense
M3C2yjzI,black,Sicilian Defense
KCRA9rHk,black,Sicilian Defense
zPwZcNlm,white,French Defense
lIsZEF0G,white,French Defense
WuGtllvl,white,Sicilian Defense
MBnszsWx,white,French Defense
b1MtlubX,white,French Defense
RsERFEbb,white,French Defense
A0xmkXW2,white,Italian Game
b1MLIFpL,white,Sicilian Defense
FeCXlUdI,black,Sicilian Defense
PStuE3Ru,black,French Defense
ahCi7B8k,black,Sicilian Defense
lLMchIam,black,Sicilian Defense
ocEoaR9Q,black,French Defense
8lqflAf6,white,French Defense
YAeg03yO,white,French Defense
5qXqLPDB,white,French Defense
ZkzVaz0B,black,French Defense
OJdeMip2,black,French Defense
khJOZetm,white,Sicilian Defense
8CCBHpef,white,Sicilian Defense
c4xul4aH,white,French Defense
WwbMGpf4,white,Sicilian Defense
YXqa1YZX,black,Sicilian Defense
EW9x3t3G,black,Sicilian Defense
1Q1n5nKA,black,Sicilian Defense
mHJI2pPG,black,Sicilian Defense
8JTLzHwA,white,Sicilian Defense
rw7RU3xt,white,Sicilian Defense
arxFjJVN,black,Sicilian Defense
w5NL4hoN,black,Sicilian Defense
NkioCxfY,black,French Defense
ahRf9QQY,black,French Defense
c32jG2DE,black,French Defense
bQSS5nLv,black,French Defense
L0LynXk7,black,Sicilian Defense
FWSFnqOu,black,French Defense
UeXIQ4YD,white,Sicilian Defense
TUsE6rh2,black,Sicilian Defense
yCbfCj3H,black,Sicilian Defense
RaxjeYPG,white,Sicilian Defense
Q6a9PXXJ,black,French Defense
xlgOy7n8,black,Sicilian Defense
hRpghvXz,black,Sicilian Defense
JYWHCWqI,white,French Defense
me8hf4aQ,white,French Defense
K6LIk4Se,white,Sicilian Defense
IrBSkx6x,white,Sicilian Defense
fmA8xiTS,white,Sicilian Defense
O81o2L6O,white,Sicilian Defense
fsRCfZs8,black,Sicilian Defense
dD90S0Xp,black,Italian Game
dbGUXGos,black,Italian Game
OWd1G3jm,white,Italian Game
MiwgmdxP,black,Sicilian Defense
XUroeyz9,white,French Defense
M2NfrvAD,white,Sicilian Defense
VdPZD8QR,black,Italian Game
3zXvLVJO,black,Italian Game
ORpuDA0o,white,Italian Game
ZgPCh2eW,white,Italian Game
cn5Zim8J,white,Sicilian Defense
LoZRZsqa,white,Italian Game
DIvhiJ7Z,black,French Defense
akDnf3iE,white,Italian Game
E7hyxqpC,white,French Defense
3KE2vYO8,white,Italian Game
OCserBbF,white,Sicilian Defense
liHxflhE,black,Sicilian Defense
JSAGyxrR,black,Sicilian Defense
5X8JpWWw,white,Italian Game
b0q9Hdjm,black,Italian Game
Avxsjr0m,black,French Defense
79bTrjIs,black,French Defense
2hifeMPo,white,Italian Game
WlA1qaVm,black,Sicilian Defense
dUFuKrXj,black,French Defense
5AlnpzG5,black,Italian Game
MN2rMSWq,white,Italian Game
bh4RLGN7,white,Italian Game
gVzZMAgF,white,Italian Game
yHUUC2i5,black,Sicilian Defense
qzUtYBv3,black,Sicilian Defense
sFsiJ3y6,white,French Defense
RkqwMuf6,white,Sicilian Defense
n8kaYFjz,white,Sicilian Defense
q0VHfsib,white,Sicilian Defense
gY65a8UE,white,Sicilian Defense
yMIwipGQ,white,Sicilian Defense
2UO4M4JH,black,French Defense
ItXQr3sr,white,Sicilian Defense
owJJh1sQ,white,Sicilian Defense
nqwsLw3F,black,Sicilian Defense
jtqmEMiE,white,Sicilian Defense
Xv1zIbzW,white,Sicilian Defense
v9P3mAvx,black,Sicilian Defense
mIKZCu7Y,white,Sicilian Defense
m5C1V3h7,black,Sicilian Defense
7TtGO7DA,black,Sicilian Defense
lVrVtbtK,black,French Defense
aiTZVJzr,white,French Defense
5fnwzmqt,black,Italian Game
41T8PqHr,white,French Defense
3TiK8FZl,black,French Defense
7WQXh1MK,black,Sicilian Defense
dP1UxdgI,black,French Defense
wWKa0PcW,black,Italian Game
3WWMbHLi,white,French Defense
LHhLL6vY,white,Italian Game
2rCdFC9Y,black,French Defense
jeaXUJ1g,black,Italian Game
5Gx0JqsI,white,French Defense
NdCPoLkf,black,French Defense
SAG5M52q,black,Sicilian Defense
gFKsyCYk,black,Sicilian Defense
71jnYOUO,white,French Defense
z5sScE2d,white,Sicilian Defense
BgHYTafZ,black,French Defense
Lh1ZeVsn,white,Sicilian Defense
QTswmZv9,white,Italian Game
SCBFMr9d,black,Italian Game
UhF1j540,black,French Defense
Q9djSJ7y,black,Italian Game
PfHiJEHq,black,Sicilian Defense
NM3n8HW8,black,French Defense
sKIvK1wg,black,French Defense
UNV5xhwu,white,Italian Game
hqs3bFL0,white,French Defense
Tpz9J0LG,white,Sicilian Defense
UUGlCO5g,black,French Defense
b1EqRvlk,white,Sicilian Defense
WV5JG3yp,black,French Defense
NkHHYNNE,black,French Defense
B2Q9LZ8r,white,Sicilian Defense
8P8UkGKg,white,Sicilian Defense
QqSWsoqj,black,Sicilian Defense
EIhw7Ekw,black,Sicilian Defense
ukyWvLOS,white,Sicilian Defense
MeJ86Rct,white,Italian Game
EQuDgTpk,black,French Defense
K3JuCS9b,black,Italian Game
FRCJRlH1,black,French Defense
AelmoJUj,black,Italian Game
IJ50Mc4n,white,Italian Game
Z7wymBsC,black,French Defense
GoVvqPqd,black,Sicilian Defense
AmM5xc4C,black,Sicilian Defense
MWlrqKoX,black,Sicilian Defense
fkCxxxOw,black,French Defense
uRK8k2G7,black,Sicilian Defense
cguKe0JQ,white,Sicilian Defense
jGgYRoq4,white,French Defense
Rz7Dgmb3,white,Sicilian Defense
MklwRBae,black,Sicilian Defense
uNfygRgx,white,Sicilian Defense
rRhP1XDg,white,Sicilian Defense
IfwmhlVo,white,Italian Game
a3IM5ZlR,white,French Defense
qAjnQuMs,black,Sicilian Defense
6M0gH6Hy,black,Italian Game
mQmeRjep,black,Italian Game
zZK6BQrf,white,Italian Game
jPu5u90q,white,Sicilian Defense
k5CReXU0,black,French Defense
rJF6eWZC,black,Sicilian Defense
asbo6bfa,white,Sicilian Defense
L768PLLv,white,Sicilian Defense
r6fCkxwG,white,Sicilian Defense
uc7VTT6S,white,Sicilian Defense
XKjHSSBq,black,French Defense
By6ay40V,black,Sicilian Defense
ezV1vSsK,white,Italian Game
tm3ohLGT,black,Italian Game
1gCJOp33,black,Sicilian Defense
h7fyq9Tw,white,Sicilian Defense
Im2GL23i,black,Sicilian Defense
Kxyc5yvw,black,Sicilian Defense
cMtXfpHs,white,Sicilian Defense
GUKDFLE6,white,French Defense
ilL0VH7M,black,French Defense
h37U85CH,black,Italian Game
DhoJhml8,white,French Defense
XUKVLrLb,black,Sicilian Defense
nnanAIUX,black,Italian Game
X6AOrl95,black,Sicilian Defense
Ejr8Xy15,black,Sicilian Defense
5ru5Qj7y,white,Italian Game
Rr6Y9C0b,white,French Defense
pu2kiqUK,black,Italian Game
Mmfy6483,white,Italian Game
35of39ca,white,Sicilian Defense
NTVYXzuf,white,French Defense
2tn4UTF3,black,Sicilian Defense
EICkaxdP,black,Italian Game
yIvHnLJX,white,Sicilian Defense
wvilPCSq,white,Sicilian Defense
firY0Cbt,white,Sicilian Defense
sq1LiK5q,white,French Defense
XegwJtMB,black,Sicilian Defense
LizfUWw0,black,French Defense
9Cp7k4AT,white,Italian Game
msI3sVO3,black,Italian Game
e9W8PKwe,black,Italian Game
ehjLUiD3,black,Italian Game
JVuxHh51,black,Sicilian Defense
YbiCb4an,black,French Defense
Bm42duFU,black,French Defense
3tlOgbHC,white,French Defense
hGFyT6Dd,white,French Defense
cEGI19i1,black,French Defense
x7AA1vc4,white,French Defense
wgIHzqDo,white,French Defense
yXGdUUhF,white,French Defense
gbNqe5aL,white,Italian Game
VEUO3lOW,black,French Defense
wgIHzqDo,white,French Defense
6BFg091i,white,Sicilian Defense
s95f8dAY,black,Sicilian Defense
AcF2QAS4,black,Sicilian Defense
RezC16d6,black,Sicilian Defense
mcO0n9q6,white,Sicilian Defense
x861mJ9D,black,Sicilian Defense
sYYRzbEG,black,Sicilian Defense
ef8Iy9Is,black,Sicilian Defense
sCNxiRMR,black,Sicilian Defense
3FBmhBFy,white,Sicilian Defense
nmphOJte,black,Sicilian Defense
vjFj0jYX,black,Sicilian Defense
1heLxxHy,white,Sicilian Defense
R9ksJTCJ,white,Sicilian Defense
oTYJu1Mv,black,Sicilian Defense
cdw6aGPQ,white,Sicilian Defense
wvKmOGY3,black,Sicilian Defense
QM7G4UXp,black,Sicilian Defense
QKuH0G5E,white,Sicilian Defense
gvV6kkIw,white,Sicilian Defense
GwaQPmmm,black,Sicilian Defense
LYRwB0rx,white,Italian Game
3ExCFQGW,black,Sicilian Defense
cuIUyWYL,black,Sicilian Defense
Kk4naeFI,white,Sicilian Defense
akxVQ1pj,white,Italian Game
FC1RzqO0,black,Sicilian Defense
nAFxszYC,white,French Defense
6lJ8uXQ9,white,French Defense
jmZDoRr6,black,French Defense
d1YBFVRp,black,Italian Game
mzbjFWVu,black,French Defense
0fg2R7L5,black,Italian Game
FFYyj8Er,black,Italian Game
ut61FwwT,white,Italian Game
KAnW0Zjf,black,Sicilian Defense
rsgQk480,white,Sicilian Defense
J62F4oVs,black,French Defense
L0ZvDNsO,black,French Defense
9sVsFP7b,white,French Defense
wNCZx1CT,black,Sicilian Defense
P52dSnkE,black,Sicilian Defense
01SY3OrQ,black,Sicilian Defense
glJoDC2y,black,Italian Game
lM6NQlk8,white,Italian Game
zHLyaVIM,black,French Defense
cYQNRZU8,black,French Defense
ypgpDIf0,black,Sicilian Defense
Ktcr0Vwb,black,Sicilian Defense
bnwpWJpH,black,Sicilian Defense
KvvLSSSf,white,Italian Game
O1IY5iRx,black,Italian Game
VWljc6BL,black,French Defense
YnvQSCVl,black,Italian Game
ETncDNmI,black,Italian Game
vf6HlMqL,black,Sicilian Defense
AKrckciP,black,Sicilian Defense
Vp5Vsg75,black,Italian Game
75zU6s1D,black,Italian Game
UZYRRGay,black,Sicilian Defense
cDXdgKyl,black,Sicilian Defense
wDll6agA,black,French Defense
oFMcSk2K,white,Italian Game
28YiE76s,white,Sicilian Defense
qEylSQ4E,white,Italian Game
J5hsTofe,black,Italian Game
PMhkXmoa,black,Sicilian Defense
nj2jx6cK,black,French Defense
lQJTIBjJ,black,French Defense
sWtq0Mpf,white,French Defense
EeRrok9P,black,French Defense
arzbKwo8,black,Sicilian Defense
ireqWWrF,black,Sicilian Defense
5FL2ZjQc,white,Sicilian Defense
QActlOHc,white,Sicilian Defense
XTmroAbz,black,Sicilian Defense
JcVIgFj1,black,Sicilian Defense
1ktc7IaC,black,Sicilian Defense
MVFHuMKf,black,Sicilian Defense
7EMmJstV,black,Sicilian Defense
R9HE5IB3,white,Italian Game
EjwyYXuk,white,Sicilian Defense
8obrNAfO,black,Sicilian Defense
Z7eY0Y0J,white,Sicilian Defense
RCJzQHlU,white,Italian Game
QiDC95ct,white,Sicilian Defense
3NZeinHd,black,Sicilian Defense
ALuHHxM0,white,Sicilian Defense
VdqkrziX,white,Sicilian Defense
Ht8upQAD,white,Sicilian Defense
rLGXMcnm,black,French Defense
rnct8I2E,white,French Defense
LcwYNoM6,black,Italian Game
Aq7UABKu,white,French Defense
Gqt52Sja,black,French Defense
CODNrIL9,black,Sicilian Defense
WLIRz0Fp,white,Sicilian Defense
oortmAnz,black,Italian Game
IXaGMTT8,black,Sicilian Defense
1nKfU3Lw,white,Italian Game
9SeYeDWZ,white,Sicilian Defense
56YcD9Z1,white,Sicilian Defense
3uFwr7Gw,black,Sicilian Defense
Dh19BxTM,black,Sicilian Defense
YTRX3FBT,black,Sicilian Defense
zaKdIdv9,black,Sicilian Defense
8FrEczjJ,black,Sicilian Defense
BUXdJa1P,black,Sicilian Defense
fiGqiCQw,white,Sicilian Defense
m0Y2LkwA,white,Sicilian Defense
rAIBB1pd,white,Sicilian Defense
Ca2U9MgL,white,Sicilian Defense
oZycl4sw,black,Sicilian Defense
CtTh8DSP,white,Sicilian Defense
C6NbZ5K1,white,Sicilian Defense
AcHVMHGh,white,Sicilian Defense
TDgwoZ2x,white,Sicilian Defense
Erpfp0rf,white,Sicilian Defense
BRX6kDtm,white,Sicilian Defense
UrPIaPpH,white,Sicilian Defense
RHDE5t0v,black,Sicilian Defense
3CWQtGeU,black,Sicilian Defense
tWAtgekz,black,Sicilian Defense
VqutluG0,white,Sicilian Defense
WpjytFaa,white,Sicilian Defense
Zzhixkcs,white,Sicilian Defense
E3VQorHc,black,Sicilian Defense
DDDUxTsQ,black,French Defense
UBgIyfUK,white,French Defense
AAl05X5q,black,French Defense
b1BxXfdU,black,French Defense
u2hBYY5l,white,Italian Game
RINURTgk,white,Sicilian Defense
Ig33mYDE,black,Sicilian Defense
evSOTb0U,white,Italian Game
hEgwmvm4,black,Sicilian Defense
wpmX4J3v,black,Italian Game
Y357dIJY,white,French Defense
FQP8vTmf,white,Sicilian Defense
0iY93CeS,white,Italian Game
dor0mNGy,black,Italian Game
JLuFHWJA,black,Sicilian Defense
sHe0cANP,white,French Defense
QMZ7QL2i,black,Sicilian Defense
m0oLOaK4,white,Italian Game
ScIT6CAQ,black,Italian Game
tz28kvfl,white,Sicilian Defense
460bfeoq,white,Sicilian Defense
ghuzGpYo,white,French Defense
vXzBDIeF,white,French Defense
wvpNZ8tu,white,Sicilian Defense
HY0VcZ2c,black,French Defense
E0eME8I9,black,French Defense
mxmDuHrg,white,French Defense
3e6n17Nm,black,French Defense
pDFusaIG,white,French Defense
llzca2RX,black,French Defense
jujEYfza,black,Sicilian Defense
Hp50pzP7,white,Sicilian Defense
J6QB5DDp,white,Sicilian Defense
zSZyG6uk,white,Sicilian Defense
ABI4GphJ,black,Sicilian Defense
yT58j7VZ,black,Sicilian Defense
gQsLcxGT,white,Sicilian Defense
09Le8iN0,white,Sicilian Defense
spJok9YP,black,Sicilian Defense
kdRyENGh,black,Sicilian Defense
c0KKPba6,black,Sicilian Defense
H70W2LAX,black,Sicilian Defense
FwUrUzEw,black,Sicilian Defense
gYoRXWqm,black,Sicilian Defense
dOv7CDTz,black,French Defense
eMxQsha9,white,Italian Game
ynLhIHTz,white,French Defense
W14rZV5f,white,Sicilian Defense
0RAHP9GX,white,Sicilian Defense
6lk5KHGF,white,Sicilian Defense
x6TUXpfw,white,French Defense
lTrv6r2Y,white,Italian Game
1eWaWVcl,black,French Defense
8PALg8eB,white,Sicilian Defense
g13yNnug,white,Italian Game
J62F4oVs,black,French Defense
giV9A2r0,white,French Defense
T7Eb5pUz,white,French Defense
ejFGh9mV,white,French Defense
8xvXASkq,white,French Defense
NGWJGhUM,black,French Defense
RCeGUxrZ,black,French Defense
l8y1txfz,white,French Defense
1XwALYzx,white,French Defense
ASiBiBwt,black,Sicilian Defense
DN1LoK0h,black,Italian Game
ncGECWJM,black,Sicilian Defense
Ccn7SY1e,black,Italian Game
dtHo3Ayt,black,Sicilian Defense
7wTohsei,black,Sicilian Defense
6248Xg3q,black,Italian Game
dOfqANqT,black,Italian Game
sX2uUEoO,black,Sicilian Defense
dHg68HsX,black,Italian Game
MYVHLEGs,black,Italian Game
b0rlDJZq,white,French Defense
1uKhqkGm,black,French Defense
KTZC6GJY,white,Italian Game
UaRTDtFk,black,Italian Game
SaK7OLXf,white,Italian Game
fyLCSoho,white,Italian Game
NVMd8c7r,black,Italian Game
4wWFmbTF,white,French Defense
t6GU62w8,black,French Defense
1EO1qKvn,white,French Defense
dwTRsRJX,black,French Defense
PLYrSuWR,black,Italian Game
PrKd49NV,black,Italian Game
5M0S1qPK,white,Italian Game
FPawDIZE,white,French Defense
NOfIK1LX,black,Sicilian Defense
xIJMIEcv,black,Sicilian Defense
n8tmGnnn,black,Sicilian Defense
Iz6xucJK,black,Sicilian Defense
sSoJ4Gc2,black,Sicilian Defense
qTZb9Anq,white,Sicilian Defense
2bYi7mnn,white,Italian Game
52KCgBfd,black,Italian Game
W79DZS8T,black,Sicilian Defense
hrHawYHH,black,Sicilian Defense
2Be0sIG6,white,Italian Game
qEEHYg3f,white,Sicilian Defense
UTy9UQjf,black,Sicilian Defense
ZQK9ADCs,white,French Defense
LegmpoVP,black,Sicilian Defense
yZTK9CyC,white,French Defense
4ap40Csw,white,Sicilian Defense
YsI2deSN,white,French Defense
KJeAZKRh,black,French Defense
XpjeAYkl,white,French Defense
ZKQAL78x,black,French Defense
ffnCXri7,white,French Defense
gGvmZX05,white,French Defense
cn6dxWB5,black,Italian Game
dkbcLJzc,black,Sicilian Defense
rl1OhAf6,black,Italian Game
F83NKRda,white,Italian Game
oEBQhZTO,white,Sicilian Defense
F0ndOQZO,white,Italian Game
wo2AHjP1,black,Italian Game
R5gzrHai,black,Italian Game
j5c2RXnd,black,Sicilian Defense
4aL70Wgg,white,Sicilian Defense
EqtKF11R,black,Sicilian Defense
RifoRB7V,white,Sicilian Defense
kXZYsDWT,white,Italian Game
2h3QX1YP,black,Sicilian Defense
830fxCdz,white,Italian Game
69mJWtRN,white,Sicilian Defense
VCVaBla1,black,Italian Game
vzNmDgil,white,Sicilian Defense
VxEAYkLN,white,Sicilian Defense
0by1nU4f,black,Sicilian Defense
RJz2t3yg,black,Italian Game
aswj7U7L,black,Sicilian Defense
gOI6FVn5,white,Italian Game
Bc9pIkNz,white,Sicilian Defense
juk5jelL,black,Sicilian Defense
6QEHG2Xy,white,Sicilian Defense
TDTNGz99,white,Sicilian Defense
KX3NWXWe,white,Sicilian Defense
PPOQGBGj,black,Italian Game
M1uYgZWA,white,Sicilian Defense
54IrDY0S,white,Sicilian Defense
sdK4CaLX,black,Sicilian Defense
oKS3ZNSK,black,French Defense
UdRV80J7,black,Sicilian Defense
npTFKCnW,white,Italian Game
6Db2lfZc,black,Italian Game
ON47tmvR,white,French Defense
e9iveKme,white,French Defense
GbXCoNmo,white,Sicilian Defense
80he8UUG,black,Italian Game
hQLKJ68q,white,Sicilian Defense
e4TsEuRY,white,Sicilian Defense
Bd5J9RZq,white,French Defense
Lwbb2x5M,black,Sicilian Defense
xJjnpqHv,white,French Defense
fss0w4x2,white,Sicilian Defense
C78HIxXU,white,Sicilian Defense
clGFiHWZ,white,Sicilian Defense
0G0p7rSw,black,Sicilian Defense
YWdmgr9E,white,Sicilian Defense
dc7ZLgpn,white,Sicilian Defense
7Dv3MLzs,black,Sicilian Defense
UjuuSIXm,black,Sicilian Defense
jm7Lz8HQ,white,Sicilian Defense
kBVbx8I1,white,Sicilian Defense
nYtyCSYk,white,Sicilian Defense
JiuCUSvf,black,French Defense
AGyetIn2,white,French Defense
lh4ywbgB,white,Sicilian Defense
JKq6kIN5,white,French Defense
qHfrAvZi,black,Sicilian Defense
EQAV7xQy,white,Italian Game
ubsCvEhg,white,French Defense
10MoRk58,white,Sicilian Defense
s5REwnKz,black,Sicilian Defense
bbLekYaz,white,Sicilian Defense
rQ8PM1Wn,white,French Defense
F6VWt6fK,white,Italian Game
re22x6bE,black,Italian Game
N7FmIWyd,white,Italian Game
WRTW99qO,white,Italian Game
oOrUbe5W,white,Italian Game
90AzAwgR,white,Sicilian Defense
5FlEM3pS,white,Italian Game
HLZ6Q5aS,black,Italian Game
